name,year,month,fpar
Sundarbans,2014,1,1.281406503672984
Sundarbans,2014,2,1.2682156692546338
Sundarbans,2014,3,1.224626432624456
Sundarbans,2014,4,1.1747948647881137
Sundarbans,2014,5,1.1197731108646383
Sundarbans,2014,6,1.0061743903811224
Sundarbans,2014,7,1.0610885132854322
Sundarbans,2014,8,1.0533786227516038
Sundarbans,2014,9,1.2065443812187555
Sundarbans,2014,10,1.259614859108517
Sundarbans,2014,11,1.2724460304447767
Sundarbans,2014,12,1.2595448152256037
Sundarbans,2015,1,1.26011714166305
Sundarbans,2015,2,1.2211680008358654
Sundarbans,2015,3,1.1978590602948036
Sundarbans,2015,4,1.106889135361914
Sundarbans,2015,5,1.0978867483242516
Sundarbans,2015,6,1.0578372795807816
Sundarbans,2015,7,1.0213884200543313
Sundarbans,2015,8,1.084493417562811
Sundarbans,2015,9,1.1530235408529041
Sundarbans,2015,10,1.2414192023918598
Sundarbans,2015,11,1.2890029496391315
Sundarbans,2015,12,1.2114810885534715
Sundarbans,2016,1,1.2413365803475271
Sundarbans,2016,2,1.2111696752449994
Sundarbans,2016,3,1.1174535050071535
Sundarbans,2016,4,1.1284091639742169
Sundarbans,2016,5,1.0740741455155307
Sundarbans,2016,6,1.0906397180562926
Sundarbans,2016,7,1.0315440195463828
Sundarbans,2016,8,1.1280750590731545
Sundarbans,2016,9,1.1997229991480611
Sundarbans,2016,10,1.2369378405748181
Sundarbans,2016,11,1.3079428611231678
Sundarbans,2016,12,1.2937575348411057
Sundarbans,2017,1,1.2854174502901419
Sundarbans,2017,2,1.2430158653614316
Sundarbans,2017,3,1.1439552088858889
Sundarbans,2017,4,1.0799981246617696
Sundarbans,2017,5,1.099952219060938
Sundarbans,2017,6,1.054642185465593
Sundarbans,2017,7,1.0078913295076437
Sundarbans,2017,8,1.051879651508576
Sundarbans,2017,9,1.1331157271222134
Sundarbans,2017,10,1.2990531149368016
Sundarbans,2017,11,1.3401247769687037
Sundarbans,2017,12,1.319170524505313
